iter	Passed	Remaining
0	9	897
1	16	806
2	23	772
3	29	709
4	37	706
5	45	712
6	55	739
7	62	721
8	70	712
9	77	698
10	85	690
11	92	678
12	100	669
13	107	659
14	114	650
15	122	641
16	131	644
17	141	646
18	149	636
19	157	629
20	164	619
21	172	610
22	179	600
23	187	593
24	194	583
25	202	575
26	209	566
27	217	558
28	224	549
29	232	542
30	242	539
31	250	532
32	258	525
33	267	519
34	276	513
35	285	507
36	294	500
37	306	499
38	314	491
39	322	484
40	336	484
41	339	469
42	349	463
43	360	458
44	369	451
45	379	445
46	390	440
47	403	436
48	414	431
49	424	424
50	434	417
51	445	411
52	456	404
53	467	398
54	474	388
55	485	381
56	495	373
57	504	365
58	513	356
59	522	348
60	533	340
61	543	332
62	551	324
63	561	315
64	570	307
65	580	298
66	589	290
67	599	282
68	610	274
69	622	266
70	634	259
71	644	250
72	653	241
73	662	232
74	671	223
75	680	214
76	689	206
77	698	196
78	706	187
79	715	178
80	724	169
81	732	160
82	741	151
83	750	142
84	759	134
85	768	125
86	776	116
87	785	107
88	795	98
89	807	89
90	818	80
91	827	71
92	837	63
93	849	54
94	860	45
95	872	36
96	882	27
97	891	18
98	899	9
99	907	0
